ts,game_id,listing_id,event,price,prev_price,section,row,seat,sold_delta
2026-09-25T20:09:15+00:00,730,de83e429b,existing,34.0,,33,30,8,
2026-09-25T20:09:15+00:00,730,7983ddf4f,existing,34.97,,28,42,18,
2026-09-25T20:09:15+00:00,730,d783dcf3b,existing,34.98,,26,34,3,
2026-09-25T20:09:15+00:00,730,7083dbe46,existing,34.99,,30,36,8,
2026-09-25T20:09:15+00:00,730,a983defb8,existing,35.0,,28,7,1,
2026-09-25T20:09:15+00:00,730,1683e62da,existing,35.0,,30,82,29,
2026-09-25T20:09:15+00:00,730,d782aebef,existing,35.0,,27,93,25,
2026-09-25T20:09:15+00:00,730,387f862f4,existing,36.0,,28,83,11,
2026-09-25T20:09:15+00:00,730,0270668bb,existing,37.0,,32,67,30,
2026-09-25T20:09:15+00:00,730,0183b199a,existing,37.0,,27,84,12,
2026-09-25T20:09:15+00:00,730,087e7aca5,existing,38.0,,29,40,6,
2026-09-25T20:09:15+00:00,730,eb83e83c5,existing,38.0,,31,36,16,
2026-09-25T20:09:15+00:00,730,6e8395d5d,existing,39.75,,34,37,29,
2026-09-25T20:09:15+00:00,730,a783e93ca,existing,39.95,,30,37,23,
2026-09-25T20:09:15+00:00,730,3d83bef78,existing,39.98,,27,22,16,
2026-09-25T20:09:15+00:00,730,fa7cc49de,existing,39.99,,32,84,1,
2026-09-25T20:09:15+00:00,730,f3837543c,existing,39.99,,25,23,3,
2026-09-25T20:09:15+00:00,730,ec7d6ad80,existing,40.0,,30,81,1,
2026-09-25T20:09:15+00:00,730,2983ae884,existing,40.0,,25,93,3,
2026-09-25T20:09:15+00:00,730,0d83ad847,existing,40.0,,28,79,22,
2026-09-25T20:09:15+00:00,730,3a83b0926,existing,40.0,,31,64,26,
2026-09-25T20:09:15+00:00,730,b180bb5c9,existing,40.0,,26,14,25,
2026-09-25T20:09:15+00:00,730,417f4d827,existing,40.0,,26,95,2,
2026-09-25T20:09:15+00:00,730,3c80b41d6,existing,40.0,,32,62,21,
2026-09-25T20:09:15+00:00,730,3f83b8ce6,existing,40.0,,31,88,42,
2026-09-25T20:09:15+00:00,730,78832f293,existing,40.0,,28,89,32,
2026-09-25T20:09:15+00:00,730,898350797,existing,40.0,,30,36,5,
2026-09-25T20:09:15+00:00,730,ea83d7c18,existing,40.0,,25,86,8,
2026-09-25T20:09:15+00:00,730,6e815da86,existing,40.0,,30,85,30,
2026-09-25T20:09:15+00:00,730,998367dea,existing,40.0,,30,77,22,
2026-09-25T20:09:15+00:00,730,0e82b1c68,existing,40.0,,26,53,15,
2026-09-25T20:09:15+00:00,730,6683e0088,existing,40.0,,27,37,5,
2026-09-25T20:09:15+00:00,730,6783e20aa,existing,40.0,,26,22,13,
2026-09-25T20:09:15+00:00,730,3183733d8,existing,40.0,,30,36,12,
2026-09-25T20:09:15+00:00,730,9482e681a,existing,40.0,,31,65,16,
2026-09-25T20:09:15+00:00,730,ad82285cc,existing,40.0,,27,70,12,
2026-09-25T20:09:15+00:00,730,3382d62e7,existing,40.0,,27,87,33,
2026-09-25T20:09:15+00:00,730,c98342556,existing,41.99,,28,43,24,
2026-09-25T20:09:15+00:00,730,d982e44c2,existing,42.0,,32,95,4,
2026-09-25T20:09:15+00:00,730,a883a21ee,existing,42.0,,32,47,21,
2026-09-25T20:09:15+00:00,730,a3830b1c7,existing,42.0,,28,66,32,
2026-09-25T20:09:15+00:00,730,b28339446,existing,42.0,,26,21,17,
2026-09-25T20:09:15+00:00,730,aa83a5336,existing,42.0,,31,11,28,
2026-09-25T20:09:15+00:00,730,2e83c211f,existing,42.0,,34,83,14,
2026-09-25T20:09:15+00:00,730,468321bf6,existing,42.49,,34,65,27,
2026-09-25T20:09:15+00:00,730,628362c79,existing,43.0,,32,39,16,
2026-09-25T20:09:15+00:00,730,f783764e7,existing,43.0,,31,17,16,
2026-09-25T20:09:15+00:00,730,7c7d7e7f3,existing,44.0,,27,30,16,
2026-09-25T20:09:15+00:00,730,dd825f17e,existing,44.0,,28,13,1,
2026-09-25T20:09:15+00:00,730,d68399e47,existing,44.0,,27,87,3,
2026-09-25T20:09:15+00:00,730,af82ed7af,existing,44.5,,32,22,14,
2026-09-25T20:09:15+00:00,730,cf83a8442,existing,44.99,,27,83,37,
2026-09-25T20:09:15+00:00,730,5983807ec,existing,44.99,,31,17,8,
2026-09-25T20:09:15+00:00,730,9682b7007,existing,45.0,,32,83,7,
2026-09-25T20:09:15+00:00,730,9382b8008,existing,45.0,,32,83,3,
2026-09-25T20:09:15+00:00,730,9782d41f1,existing,45.0,,34,60,29,
2026-09-25T20:09:15+00:00,730,5d6426227,existing,45.0,,32,27,1,
2026-09-25T20:09:15+00:00,730,858010a50,existing,45.0,,31,43,3,
2026-09-25T20:09:15+00:00,730,b181fdffe,existing,45.0,,31,51,12,
2026-09-25T20:09:15+00:00,730,3a4fe60ee,existing,45.0,,26,46,27,
2026-09-25T20:09:15+00:00,730,f57e14719,existing,45.0,,27,91,5,
2026-09-25T20:09:15+00:00,730,61678d9e2,existing,45.0,,34,43,19,
2026-09-25T20:09:15+00:00,730,e98308054,existing,45.0,,32,48,19,
2026-09-25T20:09:15+00:00,730,9477782c1,existing,45.0,,31,20,46,
2026-09-25T20:09:15+00:00,730,2c713e8a2,existing,45.0,,26,21,8,
2026-09-25T20:09:15+00:00,730,e7708ab04,existing,45.0,,34,50,26,
2026-09-25T20:09:15+00:00,730,f48265463,existing,45.0,,28,35,13,
2026-09-25T20:09:15+00:00,730,808264418,existing,45.0,,32,86,1,
2026-09-25T20:09:15+00:00,730,6683144f9,existing,45.0,,33,56,26,
2026-09-25T20:09:15+00:00,730,70839e020,existing,45.0,,30,42,1,
2026-09-25T20:09:15+00:00,730,e6826ca94,existing,45.0,,30,89,7,
2026-09-25T20:09:15+00:00,730,548235c69,existing,45.0,,25,75,12,
2026-09-25T20:09:15+00:00,730,c4839dfe8,existing,45.0,,34,65,29,
2026-09-25T20:09:15+00:00,730,9381737ec,existing,45.0,,32,93,13,
2026-09-25T20:09:15+00:00,730,e77684851,existing,45.0,,32,84,15,
2026-09-25T20:09:15+00:00,730,8e827b4c9,existing,45.0,,32,78,7,
2026-09-25T20:09:15+00:00,730,f383b5c32,existing,45.0,,29,83,21,
2026-09-25T20:09:15+00:00,730,ba6215fbb,existing,45.0,,34,86,23,
2026-09-25T20:09:15+00:00,730,e782d1ef7,existing,45.0,,33,36,15,
2026-09-25T20:09:15+00:00,730,d4832e1e5,existing,45.0,,28,89,10,
2026-09-25T20:09:15+00:00,730,e283bdf6e,existing,45.0,,28,83,23,
2026-09-25T20:09:15+00:00,730,cc83302e1,existing,45.0,,33,74,10,
2026-09-25T20:09:15+00:00,730,bc83353db,existing,45.0,,28,77,34,
2026-09-25T20:09:15+00:00,730,fb8283be8,existing,45.0,,33,36,24,
2026-09-25T20:09:15+00:00,730,418000117,existing,45.0,,26,44,4,
2026-09-25T20:09:15+00:00,730,38833f50b,existing,45.0,,29,54,7,
2026-09-25T20:09:15+00:00,730,0a828bebe,existing,45.0,,34,49,23,
2026-09-25T20:09:15+00:00,730,488346621,existing,45.0,,25,78,6,
2026-09-25T20:09:15+00:00,730,ba8352861,existing,45.0,,30,96,27,
2026-09-25T20:09:15+00:00,730,6f835cb53,existing,45.0,,33,48,29,
2026-09-25T20:09:15+00:00,730,517d32b5a,existing,45.0,,33,13,7,
2026-09-25T20:09:15+00:00,730,268296784,existing,45.0,,26,85,6,
2026-09-25T20:09:15+00:00,730,aa8365d97,existing,45.0,,28,86,41,
2026-09-25T20:09:15+00:00,730,b28295734,existing,45.0,,30,66,4,
2026-09-25T20:09:15+00:00,730,0380fd7b2,existing,45.0,,30,87,34,
2026-09-25T20:09:15+00:00,730,207e20f49,existing,45.0,,32,85,30,
2026-09-25T20:09:15+00:00,730,e2836f0af,existing,45.0,,30,51,19,
2026-09-25T20:09:15+00:00,730,d683cd67a,existing,45.0,,34,88,27,
2026-09-25T20:09:15+00:00,730,bc83e3247,existing,45.0,,33,79,8,
2026-09-25T20:09:15+00:00,730,0d838893f,existing,45.0,,33,54,14,
2026-09-25T20:09:15+00:00,730,3d8126b8e,existing,45.0,,30,41,1,
2026-09-25T20:09:15+00:00,730,ad82505fd,existing,46.0,,29,95,19,
2026-09-25T20:09:15+00:00,730,8b7f702b9,existing,46.39,,31,85,1,
2026-09-25T20:09:15+00:00,730,0a7f38822,existing,47.0,,33,28,29,
2026-09-25T20:09:15+00:00,730,01817059c,existing,47.0,,33,37,22,
2026-09-25T20:09:15+00:00,730,1f8397e0e,existing,47.0,,33,74,8,
2026-09-25T20:09:15+00:00,730,357790a72,existing,47.0,,25,49,11,
